0    433	448	432	303
1    441	475	250	216
2    445	351	411	548
3    261	414	309	391
4    438	334	366	336
5    344	394	293	310
6    264	578	538	476
7    373	346	342	447
8    312	375	318	364
9    446	325	380	449
10    440	449	450	489
11    370	333	543	371
12    444	349	344	438
13    607	477	455	393
14    464	289	437	331
15    329	532	349	373
16    421	469	386	528
17    357	330	280	492
18    461	320	498	430
19    317	347	349	312
20    369	406	432	377
21    521	301	382	331
22    373	496	469	409
23    408	285	471	353
24    385	518	503	574
25    359	307	378	334
26    356	487	227	473
27    528	276	334	531
28    407	370	382	308
29    354	352	450	322
30    401	421	362	227
31    320	353	487	327
32    383	408	241	387
33    320	576	396	570
34    502	357	360	366
35    401	382	506	264
36    408	513	395	532
37    474	446	464	516
38    488	321	461	552
39    437	459	306	596
40    327	539	300	347
41    458	376	613	445
42    455	258	369	454
43    654	416	481	550
44    554	497	479	509
45    538	367	441	554
46    377	498	448	511
47    357	448	507	421
48    463	506	459	529
49    478	448	571	457
50    553	442	480	471
51    556	415	454	446
52    481	317	520	561
53    409	410	404	517
54    314	434	532	505
55    461	533	540	519
56    441	528	484	541
57    515	521	370	469
58    490	456	502	494
59    548	420	461	622
60    577	454	415	431
61    297	552	584	573
62    546	461	471	665
63    385	468	470	665
64    588	471	539	665
65    633	531	601	665
66    588	538	550	665
67    589	467	638	665
68    494	515	496	665
69    525	624	505	665
70    511	624	617	570
71    523	624	601	619
72    593	624	601	471
73    593	624	567	620
74    569	624	549	620
75    567	624	669	620
76    545	624	669	620
77    514	624	669	620
78    594	624	669	620
79    564	624	669	620
80    590	624	669	620
81    579	624	669	620
82    620	624	669	620
83    620	637	669	620
84    620	637	669	620
85    620	637	669	620
86    620	637	669	627
87    620	637	669	627
88    620	637	669	627
89    620	637	669	627
